OBJECTID,District,Route,Direction,Begin_County,Begin_Post_Mile,End_County,End_Post_Mile,Begin_Abs_Post_Mile,End_Abs_Post_Mile,Description,Length__Lane_Miles_,Occupancy_Requirement,Hours_of_Operation,Segment_Opening_Date,Comments,Shape_Length
1,3,50,EB,SAC,R5.371,ED,5.834,11.005,34.632,Watt Ave to Cameron Park Dr,23.627,2+,M-F 06:00-10:00 and 15:00-19:00,Watt Ave to Sunrise Blvd - Dec 2011; Sunrise Blvd to Prairie City Rd - Jul 2002; Prairie City Rd to El Dorado Hills Blvd - Nov 2002; El Dorado Hills Blvd to Bass Lake Rd - Nov 2011; Bass Lake Rd to Cameron Park Dr - Oct 2012,,48659.15598
2,3,80,EB,SAC,M0.767,PLA,4.718,84.691,106.237,West El Camino Ave to SR-65,21.546,2+,M-F 06:00-10:00 and 15:00-19:00,Yolo Co Line to Longview Dr - Dec 2016; Longview Dr to Madison Ave - Jul 2004; Madison Ave to Riverside Ave - Oct 2003; Riverside Ave to Eureka Rd - Oct 2011; Eureka Rd to Rte 65 - Nov 2011,,44432.18581
3,4,80,EB,SOL,0.504,SOL,0.673,27.995,28.164,Carquinez Bridge Toll Plaza,0.255,3+,M-F 05:00-10:00 and 15:00-19:00,"Opened; W/O Toll Plaza to E/O Toll Plaza, 07/30/97; ; HOV lane moved from Toll Booth 5 to 10. HOV lanes now through Toll Booths 1 and 10. 10/28/2021","2-Seat Vehicles with 2 Persons Permitted; Toll Booths #1 & 5.  Lane 1 = 0.17 mi, lane 10 = 0.085 mi",348.1314153
4,4,80,EB,SOL,R11.485,SOL,19.594,38.976,47.096,Red Top Road to Air Base Pkwy,8.12,2+,M-F 05:00-10:00 and 15:00-19:00,"Opened; Red Top Road to E/O Air Base Pkwy., 11/04/09",,16660.84614
5,7,10,EB,LA,30.995,LA,48.265,29.495,46.765,I-605 to San Bernardino County Line,17.27,2+,24 Hr,Rte 605 to 0.6 mi west of Puente Ave (Francisquito Ave) - Dec 2013; 0.6 mi west of Puente Ave (Francisquito Ave) to Citrus Ave - Aug 2020; Citrus Ave to Rte 57 - April 2021; Rte 57 to San Bernardino Co Line - Nov 2003,Continues into San Bernardino County,33527.72703
6,7,60,EB,LA,11.79,LA,R30.456,11.931,30.597,I-605 to San Bernardino County Line,18.666,2+,24 Hr,Rte 605 to Brea Canyon Rd - Sep 2010; Brea Canyon Rd to Jct Rte 57 North - Feb 1999; Jct Rte 57 North to San Bernardino Co Line - Feb 1999,Continues into San Bernardino County,36273.1909
7,7,91,EB,LA,R6.559,LA,R20.741,0.557,14.739,I-110 to Orange County Line,14.182,2+,24 Hr,Rte 110 to Rte 605 - Jun 1985; Rte 605 to Orange Co Line - Nov 1994,Continues into Orange County,27463.19909
8,7,105,EB,LA,R1.81,LA,R18.144,1.81,18.14,I-405 to Studebaker Rd,16.33,2+,24 Hr,Oct-93,,31673.58768
9,7,118,EB,LA,R0.11,LA,R10.51,31.836,42.236,0.1 mile east of Ventura County Line to I-5,10.4,2+,24 Hr,Mar-97,,20221.7637
10,7,134,EB,LA,0.225,LA,R5.255R,0.225,5.26,US-101/SR-170 to I-5,5.035,2+,24 Hr,Oct-95,,9788.02153
11,7,134,EB,LA,R5.670,RIV,R13.341,5.7,13.341,I-5 to I-210,7.641,2+,24 Hr,Rte 5 to Rte 2 - Mar 1996; Rte 2 to Rte 210 - Aug 1996,Continues onto Route 210,14915.30256
